==5568== NVPROF is profiling process 5568, command: ./spmv
==5568== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5568== Profiling application: ./spmv
==5568== Profiling result:
==5568== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp1_gld_thread_count_64b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp2_gld_thread_count_64b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp3_gld_thread_count_64b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp0_gld_thread_count_128b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp1_gld_thread_count_128b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp2_gld_thread_count_128b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp3_gld_thread_count_128b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp0_gld_warp_count_32b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp1_gld_warp_count_32b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_subp2_gld_warp_count_32b (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
